"path","class","extension","size_mb","width","height","has_meta","texture_type","srgb","mipmaps","streaming_mips"
"Assets/_Project/Art/Sprites/ui/CUTTER.png","ui","png","1.385","1024","1024","True","8","1","0","0"
"Assets/_Project/Art/Sprites/ui/MICRO.png","ui","png","1.766","1024","1024","True","8","1","0","0"
"Assets/_Project/Art/Sprites/ui/OXYGEN.png","ui","png","1.632","1024","1024","True","8","1","0","0"
"Assets/_Project/Art/Sprites/ui/TITANIUM.png","ui","png","1.673","1024","1024","True","8","1","0","0"
"Assets/_Project/Art/TEXTURES/Aegir_storms.png","sky_aegir_cloud","png","0.34","4096","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/clouds.png","sky_aegir_cloud","png","2.873","4096","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/clouds0_diff.png","sky_aegir_cloud","png","10.482","4096","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Detali/bubble vent atlas - bad - redo.png","unknown","png","1.468","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Detali/mineral seep mask - looks seamless.png","unknown","png","2.262","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/Detali/Mineral Seep Mask - second try.png","unknown","png","2.971","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/Detali/Soft Plume Noise - second try.png","unknown","png","1.913","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Detali/soft_plume_noise_-_kakoy_to_seryy_nu_norm.png","unknown","png","1.737","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Detali/visor droplet mask.png","water_foam_caustic","png","1.161","1024","1024","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/Detali/visor runoff normal.png","water_foam_caustic","png","1.29","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/FLOOR.png","unknown","png","1.926","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/FLOOR1.png","unknown","png","1.975","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/foam.png","water_foam_caustic","png","5.656","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/gameart.png","unknown","png","1.737","1376","768","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/menuview.png","unknown","png","1.76","1376","768","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png","unknown","png","2.656","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/ORGANIC.png","unknown","png","2.03","1024","1024","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Sky/bo2.png","sky_aegir_cloud","png","4.822","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/TEXTURES/Sky/bo3.png","sky_aegir_cloud","png","6.112","2048","2048","True","0","1","1","0"
