"path","class","extension","size_mb","duration_sec","has_meta","load_type","compression_format","quality","sample_rate_setting"
"Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg","music","ogg","2.457","212.2","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg","music","ogg","1.981","171.36","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_2_Underwater Muffled Silence (1).ogg","music","ogg","1.298","112.12","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_3_The_Leviathan_s_Watch.ogg","music","ogg","1.643","142.028","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_4_krasiviy_Six_Miles_Under.ogg","music","ogg","1.691","146.26","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg","music","ogg","4.707","407.72","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg","music","ogg","4.382","379.08","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_korotki_1_Sub-Bass Throb.ogg","music","ogg","1.532","132.48","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_korotki_2_Sub-Bass Throb (1).ogg","music","ogg","0.862","74.44","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_korotki_3_Sub-Bass Throb (2).ogg","music","ogg","0.624","53.76","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg","music","ogg","2.077","179.44","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/being_attacked_2_Metallic Alarm Panic (1).ogg","music","ogg","2.136","184.64","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg","music","ogg","1.779","153.6","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/being_attacked_4_Metallic Alarm (1).ogg","music","ogg","1.966","169.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_1_Pitch-Black Silence.ogg","music","ogg","2.715","234.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_10_Volcanic Steam Ritual.ogg","music","ogg","1.792","154.92","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/cave_ambient_2_Pitch Black Silence.ogg","music","ogg","2.311","199.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_3_Sub-bass Pressure.ogg","music","ogg","1.046","90.36","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_4_Sub-bass Pressure.ogg","music","ogg","3.523","304.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_5_Cavern Click-Scrape.ogg","music","ogg","1.987","171.64","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/cave_ambient_6_Vinyl Underwater Ruins.ogg","music","ogg","3.006","260.08","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/cave_ambient_7_Vinyl Underwater Ruins (1).ogg","music","ogg","2.943","254.4","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/cave_ambient_8_Cavern Click-Scrape.ogg","music","ogg","2.34","202.04","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/cave_ambient_9_Volcanic Hiss Anthem.ogg","music","ogg","2.311","199.96","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/danger_zatmenie_1_Distant Metallic Groan.ogg","music","ogg","1.894","163.8","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/danger_zatmenie_2_Abandoned Depths.ogg","music","ogg","5.546","479.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/dead_reefs_1_Aquatic Hissdrift.ogg","music","ogg","3.235","280.12","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/dead_reefs_2_Aquatic Hissdrift (1).ogg","music","ogg","1.003","86.6","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/dead_reefs_3_Aquatic Tape Hiss.ogg","music","ogg","3.01","260.56","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/dead_reefs_4_Aquatic Tape Hiss (1).ogg","music","ogg","2.83","244.76","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/dead_reefs_5_The_Sunken_Archway.ogg","music","ogg","2.044","176.901","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/main_menu_1_Sun_Under_Water.ogg","music","ogg","1.675","144.849","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/main_menu_2_Beneath_the_Weight_of_Miles.ogg","music","ogg","1.917","165.904","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/melkovodie_1_Vinyl Kelp Glow.ogg","music","ogg","3.428","296.48","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/melkovodie_2_The_Weight_of_Blue_Light.ogg","music","ogg","1.994","172.565","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/melkovodie_3_Underwater Reverbfall.ogg","music","ogg","2.436","210.48","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/melkovodie_4_Underwater Reverbfall (1).ogg","music","ogg","2.63","227.4","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/melkovodie_5_Prism_in_the_Trench.ogg","music","ogg","1.292","111.647","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/melkovodie_6_short30sec_Beneath_the_Glass_Grove.ogg","music","ogg","0.359","30.694","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/prologue_1__Iron_Heavy_Rain.ogg","music","ogg","1.668","144.248","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","music","ogg","5.54","479.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_10_Below_the_Hull.ogg","music","ogg","2.047","177.006","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/shelf_2_Abandoned Depths (1).ogg","music","ogg","5.546","479.96","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/Shelf_3_Weight_of_the_Water.ogg","music","ogg","1.375","118.7","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/shelf_4_Abandoned Subfloor Rumble.ogg","music","ogg","2.055","177.84","True","2","1","0.7","2"
