frame,entity,flags,aup_x,aup_y,aup_z,vel_x,vel_y,vel_z,sdf_m,speed_mps,hash
7,40,2,98981.415,-1507.470,98998.428,-167.246,-138.945,408.266,-0.247,462.556,1037740305
7,44,2,99006.487,-1486.168,99005.202,357.561,85.696,312.097,-0.982,482.284,1820153686
7,45,2,99013.297,-1504.515,99001.377,192.006,-34.541,361.192,-0.525,410.511,2188568828
7,54,2,99000.637,-1489.645,99009.884,437.334,28.786,252.935,-0.771,506.029,286297225
7,75,2,99003.331,-1507.028,99013.037,295.203,-25.391,366.039,-0.827,470.929,1057337977
8,20,2,98983.270,-1507.865,98990.706,-17.154,112.013,-464.967,-0.509,478.576,3154014181
8,24,2,98999.016,-1490.675,98985.286,305.787,11.087,-201.699,-0.384,366.484,2392651178
8,25,2,99005.218,-1506.170,98983.922,78.589,116.440,-353.693,-0.764,380.570,1758782758
8,40,2,98981.412,-1507.469,98998.428,-165.134,-136.380,381.424,-0.243,437.439,2137921678
8,44,2,99006.516,-1486.159,99005.226,338.335,80.500,306.709,-0.942,463.704,979156901
8,45,2,99013.312,-1504.512,99001.381,185.683,-34.931,355.030,-0.508,402.174,557213319
8,54,2,99000.646,-1489.637,99009.918,418.526,29.418,240.064,-0.733,483.384,340331353
8,75,2,99003.346,-1507.018,99013.078,277.371,-24.210,348.251,-0.782,445.869,3455422694
9,20,2,98983.243,-1507.858,98990.691,-11.423,108.233,-443.949,-0.475,457.094,4197993541
9,24,2,98999.019,-1490.669,98985.259,284.697,9.708,-188.553,-0.356,341.612,3735540680
9,25,2,99005.231,-1506.163,98983.894,67.960,111.423,-343.033,-0.731,367.022,3184353204
9,44,2,99006.538,-1486.152,99005.245,322.093,75.812,304.280,-0.911,449.530,673282629
9,45,2,99013.321,-1504.510,99001.383,181.770,-35.077,350.163,-0.499,396.087,3666524470
9,54,2,99000.654,-1489.630,99009.946,398.964,30.307,230.825,-0.702,461.921,1346700605
9,75,2,99003.360,-1507.009,99013.115,260.888,-23.330,331.959,-0.742,422.852,1142023366
10,20,2,98983.219,-1507.852,98990.678,-8.105,104.532,-422.496,-0.446,435.311,4288441261
10,24,2,98999.021,-1490.665,98985.239,264.494,8.112,-178.952,-0.336,319.447,1965121746
10,25,2,99005.241,-1506.158,98983.873,58.935,106.467,-335.416,-0.706,356.809,4227607960
10,44,2,99006.555,-1486.147,99005.259,308.852,71.596,303.901,-0.888,439.171,3307227906
10,45,2,99013.326,-1504.509,99001.384,180.187,-35.011,345.970,-0.493,391.648,4173470961
10,54,2,99000.660,-1489.625,99009.968,378.553,31.432,225.121,-0.678,441.554,1292996416
10,75,2,99003.372,-1507.001,99013.148,245.462,-22.697,317.142,-0.706,401.679,2075543043
11,20,2,98983.199,-1507.847,98990.667,-6.915,100.896,-401.594,-0.422,414.132,567649923
11,24,2,98999.022,-1490.662,98985.226,245.869,6.341,-172.807,-0.322,300.590,2442751963
11,25,2,99005.248,-1506.154,98983.856,51.842,101.575,-330.021,-0.686,349.169,938753003
11,44,2,99006.567,-1486.143,99005.269,298.583,67.826,304.512,-0.872,431.833,3542063993
11,45,2,99013.327,-1504.509,99001.384,180.884,-34.707,341.349,-0.492,387.870,2336723820
11,54,2,99000.664,-1489.621,99009.985,357.307,32.771,222.621,-0.659,422.259,763429926
11,75,2,99003.383,-1506.994,99013.179,230.802,-22.292,303.851,-0.672,382.219,3553886719
