Name,RA,Dec,Dist,AppMagn,SpecClass,MassSol,RadSol,Temperature
HIP 24835/HD 34592,5.32393305,20.2184684,226.244342,8.96875037,F5V,,,
HIP 24994,5.35263661,24.2217734,232.018566,10.8671881,G0V,,,
HIP 25422/HD 35479,5.43739155,29.9866653,220.750522,8.08984411,B9V,,,
o Tau/114 Tau/HIP 25539/HD 35708,5.46057867,21.9369816,213.219606,4.87890635,B2IV,,,
HIP 25550/HD 243793,5.46218746,24.3325618,214.592273,9.3593756,F8V,,,
HIP 25736/HD 35998,5.49549919,26.9372284,233.644839,9.007813,A0V,,,
HIP 25777/HD 36113,5.50418531,20.5516364,227.272709,7.04687538,B5V,,,
HIP 25845/HD 36174,5.51749103,26.5842639,243.30899,8.89843713,F5V,,,
HIP 26015/HD 36501,5.55148623,23.1423447,209.643612,7.90625047,K0V,,,
HIP 26765/HD 246178,5.68512478,28.2177135,219.780209,10.4570311,F2V,,,
HIP 26836/HD 37752,5.69854295,23.3262708,215.517257,6.5664064,B8V,,,
HIP 27017/HD 246766,5.73048271,26.4263488,219.298249,8.94921889,B8V,,,
HIP 27686/HD 248356,5.86116291,27.8418556,241.545898,8.28906264,K0V,,,
HIP 27696/HD 39184,5.86407258,23.3828421,246.305427,6.96875101,K5V,,,
HIP 28166/HD 39983,5.95205451,22.8389763,244.498752,7.9999996,M5III,,,
HIP 20653/HD 27875,4.42532707,37.2735171,216.919745,8.4765629,A5V,,,
HIP 20817/HD 28135,4.46056617,32.8482799,217.864902,9.23828139,A0V,,,
HIP 20851/HD 28169,4.46799706,35.02053,203.252035,8.1796873,K0V,,,
HIP 20883/HD 28215,4.47553527,34.1991435,230.414738,8.08984425,G5V,,,
HIP 21111/HD 28518,4.52438689,38.7366369,224.215243,8.59765625,K0V,,,
HIP 21188/HD 28647,4.5421031,36.2372114,247.524749,9.11718856,G0V,,,
HIP 21896/HD 29724,4.70640382,35.8625735,233.100237,8.68750009,A2V,,,
HIP 21950/HD 29785,4.71804788,33.9297347,230.414731,7.25781275,K0V,,,
HIP 22487/HD 30531,4.83778569,39.8246651,223.713649,8.8984379,K0V,,,
HIP 23107/HD 31551,4.97202163,35.1354691,221.238946,8.56640682,A2V,,,
HIP 23337/HD 280332,5.01967499,34.5073922,209.643613,10.0781254,G0V,,,
HIP 23536/HD 32270,5.06062733,37.2685801,219.780208,7.29687497,B8V,,,
HIP 23664/HD 32460,5.08532939,39.2788727,210.970473,8.92968777,A0V,,,
HIP 24350/HD 33671,5.22549681,35.6530602,220.264314,7.89843722,A0V,,,
HIP 24455/HD 33815,5.24700366,41.3349971,207.46887,7.85937513,K0V,,,
HIP 24464/HD 33879,5.24970658,35.3575792,234.192043,8.11718774,G5V,,,
HIP 24620/HD 34146,5.28043299,36.4463883,213.675239,8.81640672,A0V,,,
HIP 24738/HD 34269,5.30435681,42.7921844,212.765975,5.54687564,M4III,,,
HIP 24771/HD 34332,5.31120108,40.4651548,207.468875,6.21875024,K0V,,,
HIP 24880/HD 277924,5.33366054,40.6771373,205.338799,9.13671967,A5V,,,
HIP 25060/HD 34807,5.36538229,39.5730365,203.252035,7.30859366,A2V,,,
HIP 25341,5.42010573,34.8636277,216.450228,8.3789061,F0V,,,
HIP 25343/HD 35295,5.42026237,34.855155,216.450222,6.5468748,F6V,,,
HIP 25476/HD 35519,5.44842411,35.4572999,197.628448,6.1679686,K2V,,,
HIP 25565/HD 35652,5.46455525,34.782849,221.238928,8.29687547,B3V,,,
HIP 25735/HD 35940,5.49545413,35.1087903,200.000001,6.87890616,K0V,,,
HIP 25940/HD 36261,5.53589931,36.0002364,200.803202,8.79687587,G0V,,,
HIP 25960/HD 36229,5.53845787,42.4158934,212.314224,8.17968733,F0V,,,
HIP 25987/HD 36319,5.54570017,39.5715685,204.081635,8.36718803,G5V,,,
HIP 26034/HD 36453,5.55431345,32.2894042,212.765959,6.61718782,B9V,,,
HIP 26746/HD 37517,5.68315045,39.0532522,196.850386,8.70703136,G5V,,,
HIP 26764/HD 37515,5.68503875,40.882601,215.053745,7.77734356,A3V,,,
HIP 27154,5.75641104,38.9739398,210.084012,9.61718803,F2V,,,
HIP 27319/HD 38358,5.78741144,42.5269574,220.75053,6.2968754,K0V,,,
HIP 27723/HD 39114,5.87052027,38.5601792,202.839777,6.92968755,B8V,,,
HIP 27777/HD 39182,5.87768514,39.5747233,202.839761,6.39843689,A2V,,,
HIP 28152/HD 39845,5.94872184,38.2873349,230.414741,7.20703178,K5V,,,
HIP 28231/HD 39968,5.96471268,40.79785,217.864925,8.55859405,A5V,,,
HIP 28263/HD 40037,5.97190715,40.786824,206.61158,7.88671961,A2V,,,
HIP 20170/HD 27267,4.32341318,26.2389764,196.850406,8.75781258,A0V,,,
HIP 20262/HD 27404,4.34382596,28.8920807,203.66601,7.92968713,A0V,,,
HIP 20631/HD 27923,4.42199022,23.7880467,194.174757,8.1171883,A0V,,,
HIP 20632,4.42201708,23.7961342,194.174753,10.4570311,G5V,,,
HIP 20663/HD 27933,4.42729308,29.5267439,209.643612,8.16796921,K0IV,,,
HIP 21120/HD 28621,4.52660313,22.845119,211.864415,7.50781229,A0V,,,
HIP 21532/HD 29246,4.62349351,25.7274461,181.818178,7.50781254,K2III,,,
HIP 21573/HD 282323,4.63170606,30.5269049,203.665996,9.30859328,F8V,,,
HIP 21759/HD 283813,4.67250515,25.0522291,217.391311,9.68750005,F0V,,,
HIP 22117/HD 282422,4.75977657,30.9580524,211.864424,10.4296875,G5V,,,
HIP 22128/HD 30122,4.76179522,23.628036,215.982737,6.33984422,B5III,,,
HIP 22133/HD 282408,4.76303012,32.4605891,207.468863,8.87890611,K5V,,,
HIP 22138/HD 30111,4.76390854,28.6607579,203.665988,7.00781298,G8III,,,
HIP 22314/HD 30378,4.80631669,29.773067,196.078434,7.40625036,B9V,,,
HIP 22409/HD 283843,4.82222655,27.7483546,182.149371,9.9882821,F8V,,,
HIP 22571/HD 282539,4.85772066,29.8317294,193.798465,9.80859381,F5V,,,
HIP 22725/HD 31001,4.88845009,24.902755,181.488193,8.61718817,F8V,,,
HIP 22778/HD 282650,4.89904973,29.345408,215.053764,9.39843764,F2V,,,
HIP 22903/HD 31294,4.92627938,27.2024879,181.488184,7.32812571,K1III,,,
HIP 23087/HD 31565,4.96901811,30.6387203,189.753317,8.78906372,A3V,,,
HIP 23336/HD 31965,5.0193849,29.3348131,183.82353,8.62890643,A0V,,,
HIP 23349/HD 32018,5.02192074,26.5343086,215.517251,7.44921881,B2IV,,,
HIP 23400/HD 32036,5.02942343,31.7781417,204.08162,7.70703174,B9V,,,
HIP 23438/HD 32158,5.0382371,29.9950361,218.818374,9.36718773,F5V,,,
HIP 23570/HD 284069,5.06767574,27.5377055,216.919749,9.60937551,F0V,,,
HIP 23606/HD 32500,5.07605315,23.6495319,210.526315,7.79687524,K0V,,,
HIP 23860/HD 32922,5.1279603,24.8257097,206.611565,8.79687581,F8V,,,
HIP 24151/HD 33444,5.18650594,23.064077,199.600787,7.85937454,F5V,,,
HIP 23721/HD 284065,5.09990553,28.1214327,186.219746,9.9296878,G0V,,,
HIP 24049/HD 33217,5.16811587,31.9306298,190.839709,8.00781285,A5V,,,
HIP 24160/HD 33413,5.18837287,29.73,196.850393,7.10937504,A0V,,,
HIP 24338/HD 33705,5.22367996,30.9665039,218.340634,8.03906306,K0V,,,
HIP 24431/HD 33897,5.241983,25.9173354,180.831814,8.13671855,A2V,,,
108 Tau/HIP 24512/HD 34053,5.25768338,22.2848726,201.612893,6.25781234,A2V,,,
HIP 24557/HD 242029,5.26882341,30.1913548,191.204586,9.42968809,F5V,,,
HIP 24755/HD 34414,5.30796496,30.3776363,208.768269,8.33984409,K0V,,,
HIP 24905/HD 34682,5.33832972,25.1711057,181.488182,8.37890699,A2V,,,
HIP 24984/HD 34762,5.34981759,27.9572972,213.219614,6.34765611,B9IV,,,
HIP 25160/HD 35035,5.38372636,28.4689554,187.617276,7.55859427,A5V,,,
22 Aur/HIP 25192/HD 35076,5.38968409,28.936836,181.818179,6.44921885,B9V,,,
HIP 25484/HD 35586,5.45036572,27.6102634,192.30772,7.86718795,F8V,,,
HIP 25498/HD 243713,5.45279182,24.2121948,189.035911,9.25781288,F5V,,,
HIP 25761/HD 36054,5.50089551,23.7587547,188.67926,8.11718799,G5V,,,
HIP 25787/HD 36042,5.50651809,34.2007329,191.204591,7.45703178,G7III,,,
HIP 25793/HD 36112,5.50764598,25.3325853,204.498984,8.26953146,A3V,,,
HIP 26570/HD 245727,5.6492431,31.3784727,209.643616,8.9882816,K5V,,,
HIP 26969/HD 37956,5.7230041,29.2002825,180.831821,6.61718771,K1III,,,
HIP 26993/HD 246706,5.72689642,29.7528129,215.517246,9.11718763,B8V,,,
HIP 28020/HD 249119,5.92668765,28.0321281,173.913047,9.73828176,F8V,,,
HIP 28270/HD 40163,5.97334558,29.6270038,215.05376,7.96874999,B9V,,,
HIP 16831,3.60860343,16.6783425,251.256275,9.4687499,F0V,,,
HIP 17300,3.70342981,14.7928439,238.663461,8.22656362,K5V,,,
HIP 17904/HD 23987,3.82895029,11.4465388,259.067346,8.06640712,G5V,,,
HIP 18049/HD 24179,3.85749319,12.0717051,243.30898,9.0898434,G0V,,,
HIP 18252/HD 24507,3.90394172,9.24822981,243.902466,8.71874989,G5V,,,
HIP 18341/HD 286381,3.92173471,10.7717638,251.889185,9.34765647,F5V,,,
HIP 18752/HD 286425,4.01662622,12.2143746,240.963871,10.5390634,F0V,,,
HIP 18927/HD 286481,4.05715377,13.9427008,245.700249,9.71875055,F0V,,,
HIP 19348/HD 26163,4.14502695,10.0994413,221.729476,6.78906186,M0V,,,
HIP 19401/HD 285471,4.15623927,17.1621852,231.481477,9.08984344,F2V,,,
HIP 19460/HD 26312,4.16733474,10.8462804,220.264316,7.70703098,G5V,,,
HIP 19548/HD 26399,4.18624988,15.6262557,235.849072,7.72656352,A0V,,,
HIP 19750/HD 26721,4.23360442,11.0272405,238.095241,7.45703076,A2V,,,
HIP 20098/HD 27235,4.30879161,12.5667028,250.626543,8.35937566,G5V,,,
HIP 20189/HD 286728,4.32729281,9.32925916,241.545898,9.5273438,F2V,,,
HIP 20389/HD 285750,4.36634872,15.7849649,222.717137,8.8867191,K2V,,,
HIP 20393/HD 286705,4.36660322,11.5730237,216.919715,9.71875026,F5V,,,
HIP 20530/HD 27797,4.39902703,14.4129493,235.294113,8.75000001,K0V,,,
HIP 20558/HD 27860,4.40402041,12.1580397,218.818381,6.41796902,K0V,,,
HIP 20646/HD 285763,4.42440797,18.8843112,220.75056,8.7265632,K0V,,,
HIP 20841/HD 286802,4.46641226,12.0678014,229.88507,9.60937526,F2V,,,
HIP 20898/HD 28345,4.47973944,14.8195202,214.132751,7.97656312,A0V,,,
HIP 20963/HD 28475,4.4952379,10.5218541,212.314219,6.769531,B5V,,,
HIP 16356/HD 21777,3.51242612,5.51308549,241.54591,7.68750034,A2V,,,
HIP 16660/HD 22148,3.57271916,8.66244494,241.545898,8.90625016,F5V,,,
HIP 16710,3.5834234,2.66183638,235.294123,10.6679688,F8V,,,
HIP 16918/HD 22539,3.62910381,7.27180013,248.138961,9.15625017,F2V,,,
HIP 16925/HD 22557,3.63052457,4.14543052,236.966831,7.21874949,A5V,,,
HIP 17312/HD 23062,3.70573075,7.55217258,232.018563,7.70703179,K0V,,,
HIP 17353/HD 23143,3.71435451,4.12243456,236.966836,8.43749975,A5V,,,
HIP 17435,3.73496528,5.05554701,238.095246,9.33984437,F5V,,,
HIP 17502,3.74800737,9.30740456,236.96683,10.5585934,F0V,,,
HIP 17581,3.76596846,6.36414871,248.138951,9.93749993,F8V,,,
HIP 17680,3.78779208,6.11928009,232.018581,9.31640694,F2V,,,
HIP 18001/HD 24144,3.84849652,7.16386255,241.545907,8.67968768,K0V,,,
HIP 18224,3.89652259,6.86052962,249.376538,9.21875093,G5V,,,
HIP 18243/HD 24520,3.9019328,2.18379708,250.626555,8.59765713,B9V,,,
HIP 18264,3.90752439,5.1911691,245.098021,8.92968724,F2V,,,
HIP 18265/HD 24550,3.90756262,5.17467081,245.098038,7.43749983,F3II,,,
HIP 18560/HD 25001,3.97256895,1.4458601,255.102031,7.5898439,K5V,,,
HIP 18645/HD 25114,3.99099522,3.78392194,244.498773,8.22656227,K2V,,,
HIP 18810/HD 25331,4.03060294,7.60489517,252.525256,8.64843821,A0V,,,
HIP 18968,4.06456637,2.57784303,220.750556,10.8398444,F2V,,,
HIP 19056,4.08272053,1.80735537,222.222232,10.71875,F8V,,,
HIP 19189/HD 25942,4.11242403,5.68678898,227.272743,8.50781331,F8V,,,
HIP 19556,4.18921416,2.36052088,235.84909,10.0781262,F0V,,,
HIP 19850/HD 26884,4.25521514,8.42928927,226.757381,8.7968758,A0V,,,
HIP 20111/HD 27283,4.3116161,4.75073901,239.808156,8.78906228,F2V,,,
HIP 20128,4.31580039,7.27104454,225.225229,9.29687555,F5V,,,
HIP 20356/HD 27597,4.35949117,6.97430361,217.864905,8.3164063,A0V,,,
HIP 20458/HD 27734,4.38324207,9.24904208,216.450222,8.05859365,A0V,,,
HIP 20502/HD 27799,4.39366176,8.05823288,224.719123,8.51953145,G5V,,,
HIP 20958/HD 28487,4.49414745,5.16430833,234.19205,6.92968797,M3II,,,
HIP 20986,4.50084115,8.19227146,242.718458,9.71874965,F8V,,,
HIP 21084/HD 28629,4.51889653,7.33222008,216.450237,7.85937484,A3V,,,
HIP 21177/HD 28796,4.54013004,0.98016257,207.46885,7.25781217,B8V,,,
HIP 21346/HD 29061,4.58047016,7.43927423,244.498771,8.58984363,A0V,,,
HIP 21501/HD 29299,4.61778348,4.62912302,217.391307,8.08984369,F8V,,,
HIP 21572/HD 29389,4.63163872,5.77034443,242.130759,8.83984329,F8V,,,
HIP 21797/HD 29717,4.68268252,2.50566799,227.27271,8.07812558,F0V,,,
HIP 14497/HD 19361,3.12134131,15.203146,215.982713,8.02734407,K3III,,,
53 Ari/HIP 14514/HD 19374,3.12380199,17.879972,231.481468,6.12890619,B1V,,,
HIP 14694/HD 19610,3.16408823,13.7677904,213.219596,8.34765601,A2V,,,
HIP 14863/HD 19833,3.19898576,16.1660023,217.39131,7.45703121,K5V,,,
HIP 15129/HD 20181,3.25180544,16.2554013,220.750543,8.4375007,G0V,,,
HIP 15134,3.25210443,16.3035868,220.750545,8.82812565,G0V,,,
HIP 15345/HD 20458,3.29789415,13.8472333,237.5297,7.53906317,A0V,,,
HIP 15471,3.32463544,12.6154787,230.946897,8.73828149,K2V,,,
HIP 15525,3.33403258,15.6579086,210.970468,8.88671881,F5V,,,
HIP 15532,3.33520295,12.718647,223.214276,10.5078127,F8V,,,
HIP 15777/HD 20955,3.38859163,16.5658116,219.298253,7.85937537,K0V,,,
HIP 15808,3.39432089,18.5557779,235.294136,8.93750028,K0V,,,
HIP 15838/HD 21006,3.40024987,19.9070438,222.222224,6.82812525,K5V,,,
HIP 15951/HD 21157,3.42315299,15.8264592,234.741754,7.90625061,K2V,,,
HIP 16221/HD 21541,3.48291653,14.9968335,240.384619,7.37890704,A0V,,,
HIP 16268/HD 21590,3.49515385,16.7623753,207.900218,7.0468761,A0V,,,
HIP 16822/HD 22375,3.60759211,12.0073132,229.885065,8.40625028,G5V,,,
HIP 17068,3.65824283,14.4825157,214.132762,9.89843817,K0V,,,
HIP 17121/HD 22744,3.6667541,16.3601915,215.517232,8.36718733,A0V,,,
HIP 17234/HD 22916,3.69065374,19.3885957,227.790434,8.08984322,A0V,,,
HIP 17301,3.70351896,10.7398917,214.592275,10.7382809,F8V,,,
HIP 17466,3.74287862,17.7473928,234.741779,9.22656338,F2V,,,
HIP 17726/HD 23701,3.79566566,14.360151,224.215244,8.73828128,K0V,,,
HIP 17031,3.65119208,13.6829607,198.412691,9.26953186,F8V,,,
HIP 17557,3.76000152,13.2474076,199.600789,10.0976558,F5V,,,
HIP 17586/HD 23465,3.7669459,18.5667395,215.053757,9.15625004,B8V,,,
HIP 17804/HD 23824,3.81080506,15.5053797,196.078435,8.16796912,A0V,,,
HIP 18110/HD 24262,3.87184467,18.917677,210.526309,8.25781293,A0V,,,
HIP 18145/HD 24335,3.87975657,13.9468044,213.219608,8.96875008,K0V,,,
HIP 18227/HD 285260,3.89682863,16.0888833,193.42359,8.94921917,F5V,,,
HIP 18228/HD 24442,3.89687435,15.1844985,202.429144,8.52734432,G5V,,,
HIP 18283/HD 24519,3.9101748,17.3437374,225.225211,8.32812539,B9V,,,
HIP 18473/HD 24761,3.94797948,20.0836445,188.679248,8.7890629,A5V,,,
HIP 18474/HD 24771,3.94808529,15.5370188,224.215245,8.75000011,F0V,,,
HIP 18754/HD 285315,4.01708702,16.521258,206.185578,9.9570315,F8V,,,
HIP 18784,4.02458925,19.5965395,213.219601,9.37890624,F0V,,,
HIP 18820/HD 285289,4.03311387,18.7869926,186.219746,10.1289066,F8V,,,
HIP 18823/HD 285305,4.03418285,17.2974009,186.219742,9.43750025,G0V,,,
HIP 19032/HD 285391,4.07705863,16.6274239,181.159424,9.19921907,F2V,,,
HIP 19067/HD 25707,4.0864357,13.2967607,209.204993,8.14843793,A2V,,,
HIP 19221/HD 25959,4.11962214,13.8123778,215.053755,8.83984377,F5V,,,
HIP 19223/HD 25978,4.11977017,12.2682352,217.391307,7.69921873,B9V,,,
HIP 19470/HD 285444,4.16993615,18.4745211,216.919739,8.94921914,K7V,,,
HIP 19519/HD 26380,4.18199237,15.9466988,198.412706,7.17968835,A0V,,,
HIP 19526/HD 286573,4.18310023,14.2776355,199.203186,8.70703158,K0V,,,
HIP 19649/HD 26583,4.21043552,12.4562071,179.856133,9.01953157,G0V,,,
HIP 19709/HD 286578,4.22293382,13.5786726,213.219613,10.0976563,F5V,,,
HIP 19822/HD 285589,4.25028639,15.7377635,187.969919,10.0195314,F8V,,,
HIP 19974/HD 286664,4.28344509,11.1898583,200.400805,10.8476557,F0V,,,
HIP 20204/HD 27385,4.32980894,13.0858692,213.219626,7.45703146,K0V,,,
HIP 20511/HD 27798,4.39534149,11.5169492,203.665995,8.66796825,A0V,,,
HIP 14534/HD 19450,3.12772328,1.40597236,210.970475,7.10937504,K0V,,,
HIP 14835/HD 19847,3.19288498,4.72328478,209.643625,7.92968798,K0V,,,
HIP 15008/HD 20055,3.22424786,1.43184645,208.333311,8.47656192,K5V,,,
HIP 15333/HD 20469,3.29592281,3.68157486,219.298233,7.79687504,K0V,,,
HIP 15395,3.30777272,6.22761161,224.215243,10.0664063,F0V,,,
HIP 15515/HD 20665,3.3322288,8.69978458,220.264323,7.43749986,B9V,,,
HIP 15523/HD 20699,3.33384435,1.48361654,198.807158,6.72656282,K0V,,,
HIP 15593,3.34707228,6.43326548,219.780198,9.60937481,F8V,,,
HIP 15630/HD 20789,3.35482797,9.65985873,218.340612,7.70703155,A2V,,,
HIP 15732/HD 20939,3.37837943,2.46870113,207.468886,8.85937515,G5V,,,
HIP 15738,3.37971191,6.79959256,212.31423,10.7578125,G0V,,,
HIP 15837,3.39989123,10.4616943,205.338805,10.4062508,G0V,,,
HIP 16032/HD 21314,3.44062963,2.16975599,215.517253,8.23828143,G5V,,,
HIP 16120/HD 21438,3.4610667,8.76528719,236.966845,7.79687488,A5V,,,
HIP 16269/HD 21643,3.495921,5.80041651,194.552524,8.51953059,F5V,,,
HIP 16311/HD 21712,3.50385712,1.07447465,191.204593,9.38671943,G0V,,,
HIP 16334/HD 21756,3.50954476,2.07979353,201.207246,8.96874989,F2V,,,
HIP 16346,3.51071509,3.91634438,228.3105,9.91796883,F5V,,,
HIP 16606/HD 22074,3.56244704,6.92601843,233.100239,7.15625036,G5V,,,
HIP 16796/HD 22354,3.60325261,8.88647874,221.729497,7.59765593,K0V,,,
HIP 17244,3.69310302,9.33039428,210.970476,10.8398439,F8V,,,
HIP 17259/HD 23008,3.69696363,7.31802448,208.76829,8.17968699,G0V,,,
HIP 17520/HD 23389,3.75076966,6.63662999,207.900205,8.15625095,A2V,,,
HIP 17792/HD 23841,3.8085348,9.64592332,216.919743,6.67968818,K1III,,,
31 Tau/HIP 18089/HD 24263,3.86672892,6.53491431,215.982712,5.65625046,B5V,,,
HIP 17003/HD 22653,3.64524377,2.72790648,189.753318,7.83984314,A2V,,,
HIP 17641,3.78015604,0.988050442,193.050198,10.9179684,F8V,,,
HIP 17677,3.7870869,5.43997767,189.393915,9.42968711,F2V,,,
HIP 17752/HD 23779,3.80056762,7.12964401,196.078429,7.86718776,K0V,,,
HIP 17762,3.80259055,10.1726237,188.323912,9.29687518,F5V,,,
HIP 17910/HD 24042,3.82989519,0.327605994,202.839773,9.68749969,G5V,,,
HIP 18076,3.86415547,9.10421708,197.628454,11.7187501,K7V,,,
HIP 18140,3.87778482,3.38965485,214.592286,10.8398435,G5V,,,
HIP 18147/HD 24380,3.87990667,1.74792573,178.253096,7.68750015,K0V,,,
HIP 18234,3.8993522,4.90024105,189.035923,10.1679693,F8V,,,
HIP 18430/HD 24762,3.9411307,7.57131215,210.526323,8.13671924,G5V,,,
HIP 18454/HD 24792,3.94381394,3.05788632,208.768264,7.01953171,K0V,,,
HIP 18461,3.9451099,5.83611552,181.818165,10.4062499,G0V,,,
HIP 18734/HD 25248,4.0131365,5.08284191,192.307693,8.59765655,A3V,,,
HIP 18850/HD 25412,4.04144872,3.84724813,204.918019,6.90624986,B8V,,,
HIP 18911/HD 25477,4.05293856,8.88262904,198.412688,6.64843815,K0V,,,
HIP 18947,4.06081215,6.79293666,188.323931,9.70703168,F5V,,,
HIP 18983/HD 25606,4.06723692,3.84067006,188.679234,8.00000019,B9V,,,
HIP 19048/HD 25708,4.08130487,4.79088447,199.600787,8.79687451,F0V,,,
HIP 19104,4.09503579,7.71345064,193.423602,9.30859423,F0V,,,
HIP 19166,4.10969845,1.53797798,204.918028,10.7382815,F8V,,,
HIP 19200/HD 25951,4.11513754,8.19178665,174.825182,7.93750031,K0V,,,
HIP 19466/HD 26323,4.16856548,7.69795623,190.839711,8.63671918,B9V,,,
HIP 19478/HD 26346,4.17219752,8.41476703,180.831826,8.27734376,B9V,,,
HIP 19516,4.18088811,3.57427021,210.526309,10.4765628,F8V,,,
HIP 19657/HD 26606,4.21207024,5.0308759,207.468872,7.28906252,G5V,,,
HIP 19801/HD 26826,4.24396996,0.689508818,174.825188,9.34765672,F8V,,,
HIP 19970/HD 286661,4.28187697,11.4839904,183.823528,9.43750005,F0V,,,
HIP 20322/HD 27572,4.35363865,0.863769422,201.612907,7.83984353,F8V,,,
HIP 20424/HD 27707,4.37503308,3.4097295,189.393933,8.76953099,B9V,,,
HIP 20546,4.40260118,7.4462866,190.114062,10.5898438,F8V,,,
HIP 20698/HD 28086,4.43370405,4.37348947,193.42361,6.36718802,K0V,,,
HIP 22258/HD 30392,4.79198341,10.1693983,226.757396,8.23828206,A0V,,,
HIP 22273/HD 30390,4.79534199,15.1910949,230.414746,8.8789069,K0V,,,
HIP 22583/HD 287120,4.86009303,12.7941971,215.517253,9.63671883,F8V,,,
HIP 22823/HD 31254,4.91144424,12.0258183,227.790459,7.43749967,A0V,,,
HIP 22853/HD 31282,4.9167417,14.5937763,228.310498,7.50000011,F0V,,,
HIP 23301/HD 32005,5.01160158,12.6039465,206.185569,8.25781278,A0V,,,
HIP 23496/HD 32346,5.05086663,14.7657128,240.963854,9.13671966,F8V,,,
HIP 23642/HD 286320,5.08159658,17.7827861,223.214296,9.20703172,F2V,,,
HIP 23702/HD 240585,5.09478426,15.0998567,218.340621,10.7773442,F8V,,,
HIP 23866/HD 33020,5.12949935,10.8950675,216.919728,7.03906287,A0V,,,
HIP 23945/HD 33155,5.14615415,11.7522654,208.333316,7.24999963,K0V,,,
HIP 24143/HD 33489,5.18501289,12.3793485,228.832938,8.98828056,A0V,,,
HIP 24170/HD 241402,5.18976715,14.6983416,223.214291,10.6679691,F5V,,,
HIP 24286/HD 33708,5.21197802,13.3727883,208.76829,8.84765577,K0V,,,
HIP 24622/HD 34291,5.28114325,12.4094147,214.13279,8.06640726,K0V,,,
HIP 24870/HD 242688,5.3316775,13.2233095,232.558124,10.117188,F2V,,,
HIP 24872/HD 34683,5.33295978,16.7308166,228.832957,8.39843719,K2V,,,
HIP 24958/HD 34811,5.34534563,15.6369344,200.803221,8.23828219,A3V,,,
HIP 25013/HD 242881,5.35600076,14.9434166,206.611585,9.59765712,F0V,,,
HIP 25018/HD 242851,5.3565927,15.8149714,202.429152,10.1484382,F5V,,,
HIP 25228/HD 35217,5.39551474,12.7757951,204.49897,8.46874997,A0V,,,
HIP 25323/HD 35405,5.41663371,11.1273053,210.970476,8.0585939,K0V,,,
113 Tau/HIP 25410/HD 35532,5.43492267,16.7001742,200.803194,6.22656348,B2V,,,
115 Tau/HIP 25499/HD 35671,5.45280277,17.9622661,204.918029,5.39843788,B5V,,,
HIP 25577/HD 35818,5.46641532,12.9117238,233.644865,8.15625087,A0V,,,
117 Tau/HIP 25583/HD 35802,5.46711107,17.2392418,215.98272,5.76953165,M1III,,,
HIP 25657/HD 35945,5.4805825,16.4266704,220.75054,7.6289068,B9V,,,
HIP 26101/HD 244923,5.56692154,14.4901008,218.340622,8.47656298,K0V,,,
HIP 26214/HD 245089,5.58694949,18.5710199,231.481488,9.30859373,F5V,,,
HIP 26306/HD 37033,5.60236841,12.4364592,195.694706,7.15625001,G5V,,,
HIP 26359/HD 37125,5.61367919,15.6183792,212.765952,7.71875035,K0V,,,
HIP 26438/HD 37203,5.62622626,19.7795268,209.643594,8.85937524,A0V,,,
HIP 26590/HD 37441,5.65209399,14.5567625,203.252035,7.53906234,A0V,,,
126 Tau/HIP 26777/HD 37711,5.68825348,16.5341754,229.357792,4.83984431,B3IV,,,
HIP 27022/HD 38106,5.73135517,14.6938623,210.970471,9.18750008,A2V,,,
HIP 27315/HD 38559,5.78656679,12.3395948,202.42914,7.13671924,K0V,,,
HIP 27610/HD 39030,5.84630908,20.6718454,211.864434,7.79687494,K0V,,,
HIP 27666/HD 39168,5.8577378,18.4442496,238.095251,6.98828182,G5V,,,
HIP 28090/HD 39897,5.93783133,18.0742218,228.832962,8.3085932,K0V,,,
HIP 28148/HD 40041,5.94837532,12.3723594,215.982721,8.95703167,F5V,,,
HIP 28170/HD 40039,5.95229494,19.2167446,202.839769,7.85937471,B9V,,,
HIP 28202/HD 40114,5.95940289,13.7079613,204.081634,7.96875063,B9V,,,
HIP 28289/HD 40316,5.97778657,16.5977307,219.780211,7.37890612,B9V,,,
HIP 28294/HD 249829,5.97986796,20.2067067,213.67521,9.92968768,G0V,,,
HIP 21739/HD 29634,4.66821753,0.550706261,211.864416,8.56640608,A0V,,,
HIP 21987,4.72636887,8.27441154,222.222239,10.4492189,F0V,,,
HIP 22238,4.78462314,9.06067758,216.450216,8.60937551,F2V,,,
HIP 22354/HD 30545,4.8123959,3.58856393,216.919735,6.03906314,K1III,,,
HIP 22384,4.81883372,5.20854296,214.592286,8.0898435,K5V,,,
HIP 22385/HD 30590,4.81903265,5.21850719,214.592282,9.13671858,F5V,,,
HIP 22401/HD 30618,4.82107707,3.26954036,208.333317,8.32812461,K0V,,,
HIP 22428/HD 30636,4.82588656,2.20176866,218.818376,7.76953157,A0V,,,
HIP 22597/HD 30870,4.86205059,9.97509578,215.982713,6.10937558,B5V,,,
HIP 22634/HD 30978,4.86970311,0.752248956,234.192044,9.25000027,A2V,,,
HIP 22635/HD 30961,4.86978863,4.69247247,233.100222,7.80859365,K0V,,,
HIP 22642/HD 30975,4.8717931,5.67695977,216.919726,8.55859407,G5V,,,
HIP 22756/HD 31168,4.89495029,6.01689092,198.807149,7.50781343,F0V,,,
HIP 22874/HD 31364,4.92052475,0.967398438,203.665997,9.34765586,F8V,,,
