Name,RA,Dec,Dist,AppMagn,SpecClass,MassSol,RadSol,Temperature
HIP 10643/HD 13984,2.28307942,38.1465049,400.000006,8.79687503,K0V,,,
HIP 13393/HD 17756,2.8729107,42.0209779,395.256918,6.83984424,K0V,,,
HIP 13512/HD 17891,2.9002693,47.1609212,403.225832,6.77734401,B9V,,,
HIP 14207/HD 18830,3.05313009,41.3351709,400.000011,8.33984405,A0V,,,
HIP 14742/HD 19540,3.17238486,45.9404169,406.504047,7.27734373,G5V,,,
HIP 15221,3.2705538,43.6571611,401.606405,8.87890718,K2V,,,
HIP 14430/HD 19110,3.10447563,47.7621933,406.504067,8.2578127,K5V,,,
HIP 15322/HD 20296,3.2942732,46.9489983,367.647056,7.52734374,A0V,,,
HIP 15428,3.31445103,47.2243195,403.225793,9.63671864,F5V,,,
HIP 16135,3.46478303,46.2404802,369.003657,10.1679693,F5V,,,
HIP 12601/HD 16720,2.70029738,39.2920643,381.679423,8.77734419,K0V,,,
HIP 14509/HD 19280,3.12262453,37.810387,392.156867,7.9375003,K5V,,,
HIP 15094/HD 20042,3.24555567,39.9101588,375.939812,9.21875018,A0V,,,
HIP 15059,3.23413936,40.5226091,373.134318,9.23828171,K0V,,,
HIP 15753/HD 20810,3.38251359,44.9663286,363.636352,8.11718789,A0V,,,
HIP 15999/HD 21108,3.43450866,45.2995583,348.432083,7.91797007,B9V,,,
HIP 16188/HD 21377,3.47586778,43.753608,353.356909,7.20703223,A0V,,,
HIP 16487/HD 21795,3.53821793,40.9207583,361.01084,6.72656288,B9V,,,
HIP 11997/HD 15863,2.577858,50.0657722,381.6794,6.97656315,B9V,,,
HIP 13097/HD 232712,2.80673237,51.5432265,373.13431,9.5781253,B9V,,,
HIP 13322,2.85785951,47.1128868,369.003691,9.55859462,B8V,,,
HIP 13443/HD 17786,2.88578642,50.417473,375.939872,9.20703168,F2V,,,
HIP 13635/HD 18041,2.92608334,47.3044567,384.615386,7.01953139,K0V,,,
HIP 13803/HD 232734,2.96273473,52.9010745,359.71222,9.00781257,F2V,,,
HIP 14029/HD 18549,3.01055359,47.8851023,390.624994,7.81640569,A2V,,,
HIP 14118/HD 18685,3.03471862,48.4437406,387.596895,8.66796981,K5V,,,
HIP 15610/HD 232778,3.35003252,50.9931602,377.358501,9.45703169,F8V,,,
HIP 10922/HD 14408,2.34438969,40.4657409,357.142839,8.61718817,A0V,,,
HIP 11779/HD 15623,2.53317147,42.3912993,357.142853,8.17968853,K0V,,,
HIP 11816/HD 15684,2.53978474,40.0853338,366.300358,7.66796931,B9V,,,
HIP 12042/HD 15980,2.58722043,40.5967356,349.65037,7.87890686,B9V,,,
HIP 12559/HD 16655,2.69220082,42.5942021,352.112675,8.48828126,B9V,,,
HIP 12930/HD 17115,2.77211808,45.4509105,362.318826,8.16796918,A0V,,,
HIP 13086/HD 17316,2.80391056,43.6225554,359.712211,7.42968747,B9V,,,
HIP 13099/HD 17308,2.80691051,48.0441499,340.136052,8.85937494,A0V,,,
HIP 13774/HD 18231,2.95427888,46.0199484,343.642584,7.95703186,B8V,,,
HIP 10770,2.30995247,29.1130677,398.406393,10.8593756,F5V,,,
HIP 11176/HD 14783,2.39808204,33.8578526,403.22579,7.25781214,K0V,,,
HIP 11299/HD 14948,2.42442862,32.4077025,398.40638,7.18750021,K2V,,,
HIP 11805/HD 15704,2.5376346,32.0986701,374.531844,7.57812567,G5III,,,
HIP 12193/HD 16210,2.61730978,34.2642854,398.406352,6.77734409,M4III,,,
HIP 13372/HD 17759,2.8670851,32.7420436,389.105082,8.65624986,A0V,,,
HIP 11265/HD 14918,2.41719331,25.4869156,409.836061,7.77734386,G5III,,,
HIP 11547/HD 15360,2.48002889,23.8705337,401.606432,8.41796984,A2V,,,
HIP 12847/HD 17054,2.7525526,28.8567537,363.63638,8.44921904,K0V,,,
HIP 13356/HD 17760,2.86409235,27.2739081,367.647056,7.90625017,A0V,,,
HIP 9223/HD 12008,1.97610687,33.5608456,378.787854,8.39843746,A2V,,,
HIP 9232,1.97819748,32.8529903,378.787862,8.43749997,M2V,,,
HIP 10101/HD 13211,2.16519503,32.5494182,375.939824,8.18750008,G5V,,,
HIP 11155/HD 14724,2.39183441,35.8332542,348.432062,8.46875105,G5V,,,
HIP 9111,1.95629419,26.8046249,371.74721,9.54687517,F5V,,,
HIP 9851/HD 12868,2.1118228,25.8308568,367.647084,7.25000007,A3V,,,
11 Ari/HIP 9859/HD 12885,2.11367305,25.7045839,355.871902,6.0078129,B9IV,,,
HIP 9922,2.12866466,29.6331253,355.871863,8.32812527,K0III,,,
HIP 10120,2.16911034,32.5188556,337.837829,8.58984374,G5V,,,
HIP 10334/HD 13565,2.21936175,30.5588619,344.827563,7.80859407,K0II,,,
HIP 10954/HD 14479,2.35124366,30.674834,326.797396,8.14843732,K1II,,,
HIP 12124/HD 16128,2.60271997,27.1668749,335.570472,8.59765606,G5V,,,
HIP 12557/HD 16682,2.6918233,34.5160952,353.356914,7.79687557,M4II,,,
HIP 12915/HD 17148,2.76751377,35.4505578,369.003685,7.59765707,K0V,,,
HIP 13832/HD 18339,2.96731436,38.614967,357.142847,6.05859429,K3III,,,
HIP 13983/HD 18541,3.00158695,39.1903055,349.650355,9.54687541,A3V,,,
HIP 13997/HD 18552,3.00329999,38.1318051,341.296921,6.10937584,B8V,,,
HIP 15871/HD 20971,3.40735637,40.0438962,319.488802,7.35937528,K5V,,,
HIP 16020/HD 21156,3.43807767,39.0673779,357.142845,8.62890709,A0V,,,
HIP 12795,2.74059557,31.0397406,342.465731,9.8476564,F0V,,,
HIP 13770,2.9536756,33.9604474,334.448138,8.78906313,K2V,,,
HIP 14491/HD 19281,3.11879959,32.6621982,342.465768,8.35937554,K5V,,,
55 Ari/HIP 14677/HD 19548,3.16020201,29.0771136,346.020741,5.73828096,B8III,,,
HIP 15637/HD 20726,3.35549693,30.2779914,334.448144,8.269532,K0V,,,
HIP 15693/HD 278535,3.36934717,34.5021741,313.479629,8.95703096,K0V,,,
HIP 16075/HD 21269,3.45064118,34.4295022,304.878056,6.75781241,G0V,,,
HIP 16164,3.47149776,29.8686662,319.488792,9.64843756,A0V,,,
HIP 16381/HD 21662,3.51714773,33.8930596,322.58065,8.1562503,K2V,,,
HIP 16507/HD 21864,3.54224446,31.6480234,297.619048,7.75000113,K0V,,,
HIP 11063/HD 14585,2.37319444,37.698791,348.43206,8.00000095,G5V,,,
HIP 11135/HD 14685,2.38814491,38.2527468,341.296947,7.12890723,A0V,,,
HIP 12321/HD 16376,2.64388976,36.3388448,344.827561,7.77734398,G5V,,,
HIP 12655/HD 16790,2.70979448,33.7673861,347.222193,8.66796882,A2V,,,
HIP 12737/HD 16882,2.72887316,41.4979586,322.580664,7.62890697,A0V,,,
HIP 13282/HD 17612,2.84879788,41.6620798,301.204828,8.75781296,A0V,,,
HIP 13703,2.94068272,44.0913725,308.641966,9.08984424,K0V,,,
HIP 13895/HD 18418,2.98185125,38.4035684,334.448137,7.53906311,K0V,,,
HIP 14005/HD 18550,3.00506246,42.1404246,298.50749,8.25781345,A5V,,,
HIP 14084/HD 18664,3.02672998,42.7015473,312.499989,8.66796887,A2V,,,
HIP 14872,3.20016038,43.4329376,320.512811,9.06640676,A2V,,,
HIP 15496/HD 275149,3.32809111,42.176094,326.797399,8.85937481,K0V,,,
HIP 11515/HD 15282,2.47498738,35.2980966,307.692286,8.58984429,A0V,,,
HIP 11942/HD 15896,2.56813799,32.4520593,289.017322,7.6484379,K0V,,,
HIP 12115/HD 16111,2.60119572,29.4038073,333.333309,7.07812498,A0IV,,,
HIP 12991/HD 17259,2.7843486,31.3951213,304.878067,7.68750038,B8V,,,
HIP 12419/HD 16513,2.66417866,32.8147657,281.690167,7.98828193,K0V,,,
HIP 13146/HD 17470,2.81813494,32.8449252,291.54519,8.15625009,A0V,,,
HIP 13214/HD 17555,2.83453835,33.8175138,306.748489,8.6679694,A0V,,,
HIP 13658,2.9311587,33.6658535,313.479623,9.78906212,A0V,,,
HIP 14196/HD 18860,3.05115406,33.9129072,303.030307,8.57812541,G0V,,,
HIP 14374/HD 19072,3.09063636,39.6534407,292.397636,8.01953112,K0V,,,
HIP 14480/HD 19232,3.11455435,35.1238543,273.972583,8.2500006,K0V,,,
HIP 15151/HD 20113,3.25471444,36.4758514,291.545179,7.64843717,B8V,,,
