"Project","ExitCode","Warnings","Errors","Log"
"Tayx.Graphy.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Tayx_Graphy_POST_STRICT_20260528_1.log"
"MoreMountains.Feedbacks.NiceVibrations.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Feedbacks_NiceVibrations_POST_STRICT_20260528_1.log"
"MoreMountains.Feedbacks.Authorizations.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Feedbacks_Authorizations_POST_STRICT_20260528_1.log"
"MeshBakerCore.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MeshBakerCore_POST_STRICT_20260528_1.log"
"Lofelt.NiceVibrations.Demo.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Lofelt_NiceVibrations_Demo_POST_STRICT_20260528_1.log"
"EasySave3Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_EasySave3Editor_POST_STRICT_20260528_1.log"
"JBooth.MicroSplat.Core.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_JBooth_MicroSplat_Core_Editor_POST_STRICT_20260528_1.log"
"Lofelt.NiceVibrations.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Lofelt_NiceVibrations_Editor_POST_STRICT_20260528_1.log"
"AstarPathfindingProjectEditor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_AstarPathfindingProjectEditor_POST_STRICT_20260528_1.log"
"BakeryRuntimeAssembly.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_BakeryRuntimeAssembly_POST_STRICT_20260528_1.log"
"AmplifyImpostors.Runtime.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_AmplifyImpostors_Runtime_POST_STRICT_20260528_1.log"
"MoreMountains.Feedbacks.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Feedbacks_Editor_POST_STRICT_20260528_1.log"
"Hecton8.World.Contracts.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Hecton8_World_Contracts_POST_STRICT_20260528_1.log"
"Crest.Helpers.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Crest_Helpers_Editor_POST_STRICT_20260528_1.log"
"Den.Tools.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Den_Tools_Editor_POST_STRICT_20260528_1.log"
"Technie.PhysicsCreator.Updater.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Technie_PhysicsCreator_Updater_POST_STRICT_20260528_1.log"
"Sirenix.OdinInspector.Modules.UnityMathematics.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Sirenix_OdinInspector_Modules_UnityMathematics_POST_STRICT_20260528_1.log"
"JBooth.MicroSplat.Core.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_JBooth_MicroSplat_Core_POST_STRICT_20260528_1.log"
"Hecton8.Bootstrap.Contracts.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Hecton8_Bootstrap_Contracts_POST_STRICT_20260528_1.log"
"MapMagic.Settings.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MapMagic_Settings_POST_STRICT_20260528_1.log"
"MapMagic.MicroSplat.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MapMagic_MicroSplat_Editor_POST_STRICT_20260528_1.log"
"Hecton8.World.Dots.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Hecton8_World_Dots_POST_STRICT_20260528_1.log"
"Hecton8.Input.Generated.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Hecton8_Input_Generated_POST_STRICT_20260528_1.log"
"Tayx.Graphy.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Tayx_Graphy_Editor_POST_STRICT_20260528_1.log"
"MapMagic.MicroSplat.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MapMagic_MicroSplat_POST_STRICT_20260528_1.log"
