Path,SizeMB,LoadType,CompressionFormat,Quality,SampleRateSetting,SampleRateOverride,ForceToMono,Flags
"Assets/_Project/Audio/Impact/landing-hardsurface.wav",0.062,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Impact/landing-softsurface.wav",0.038,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/dive_splash.wav",0.292,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/swimming - underwater.ogg",0.029,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/swimming -onwater.wav",3.423,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg",1.322,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg",2.028,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg",4.315,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg",2.033,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg",1.803,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg",3.664,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg",2.926,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg",1.780,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg",1.645,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg",1.686,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg",1.590,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_2_Steam-Teeth Ritual.ogg",1.837,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg",2.457,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg",1.981,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_deep_2_Underwater Muffled Silence (1).ogg",1.298,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_deep_3_The_Leviathan_s_Watch.ogg",1.643,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_deep_4_krasiviy_Six_Miles_Under.ogg",1.691,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg",4.707,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg",4.382,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_korotki_1_Sub-Bass Throb.ogg",1.532,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_korotki_2_Sub-Bass Throb (1).ogg",0.862,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_korotki_3_Sub-Bass Throb (2).ogg",0.624,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg",2.077,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/being_attacked_2_Metallic Alarm Panic (1).ogg",2.136,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg",1.779,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/being_attacked_4_Metallic Alarm (1).ogg",1.966,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_1_Pitch-Black Silence.ogg",2.715,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_2_Pitch Black Silence.ogg",2.311,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_3_Sub-bass Pressure.ogg",1.046,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_4_Sub-bass Pressure.ogg",3.523,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_5_Cavern Click-Scrape.ogg",1.987,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_6_Vinyl Underwater Ruins.ogg",3.006,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_7_Vinyl Underwater Ruins (1).ogg",2.943,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_8_Cavern Click-Scrape.ogg",2.340,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_9_Volcanic Hiss Anthem.ogg",2.311,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/cave_ambient_10_Volcanic Steam Ritual.ogg",1.792,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/danger_zatmenie_1_Distant Metallic Groan.ogg",1.894,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/danger_zatmenie_2_Abandoned Depths.ogg",5.546,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/dead_reefs_1_Aquatic Hissdrift.ogg",3.235,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/dead_reefs_2_Aquatic Hissdrift (1).ogg",1.003,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/dead_reefs_3_Aquatic Tape Hiss.ogg",3.010,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/dead_reefs_4_Aquatic Tape Hiss (1).ogg",2.830,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/dead_reefs_5_The_Sunken_Archway.ogg",2.044,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/main_menu_1_Sun_Under_Water.ogg",1.675,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/main_menu_2_Beneath_the_Weight_of_Miles.ogg",1.917,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_1_Vinyl Kelp Glow.ogg",3.428,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_2_The_Weight_of_Blue_Light.ogg",1.994,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_3_Underwater Reverbfall.ogg",2.436,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_4_Underwater Reverbfall (1).ogg",2.630,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_5_Prism_in_the_Trench.ogg",1.292,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/melkovodie_6_short30sec_Beneath_the_Glass_Grove.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/prologue_1__Iron_Heavy_Rain.ogg",1.668,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg",5.540,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_2_Abandoned Depths (1).ogg",5.546,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/Shelf_3_Weight_of_the_Water.ogg",1.375,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_4_Abandoned Subfloor Rumble.ogg",2.055,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_5_Abandoned Subfloor Rumble (1).ogg",2.511,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_6_Decaying Analog Static.ogg",2.168,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_7_Decaying Analog Static.ogg",3.310,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_8_Deep-Sea Tapeflutter.ogg",2.892,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_9_Deep-Sea Tapeflutter (1).ogg",3.003,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/shelf_10_Below_the_Hull.ogg",2.047,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_being_saved_1Release_At_Depth.ogg",0.303,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_being_saved_2_Pressure_Gives_Way.ogg",0.300,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg",0.300,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg",0.351,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_dangerous_2Heartbeat_Under_Floorboards.ogg",0.360,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_discovery_1_The_Sunken_Gate.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/stinger_discovery_2_The_Sunken_Archive.ogg",0.359,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
