Path,SizeMB,LoadType,CompressionFormat,Quality,SampleRateSetting,SampleRateOverride,ForceToMono,Flags
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button3.wav",0.013,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button4.wav",0.041,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/CameraShutter1.wav",0.020,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Hover1.wav",0.044,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Hover2.wav",0.039,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Pop1.wav",0.013,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass1.wav",0.084,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass2.wav",0.084,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass3.wav",0.061,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel1.wav",0.032,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel2.wav",0.026,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel3.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepSnow1.wav",0.037,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body1.wav",0.053,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body2.wav",0.032,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body3.wav",0.023,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack1.wav",0.250,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack2.wav",0.180,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack3.wav",0.170,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletMetal1.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CarCrash1.wav",0.046,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CombatPunch1.wav",0.015,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CombatPunch2.wav",0.024,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete1.wav",0.018,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete2.wav",0.035,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete3.wav",0.071,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass1.wav",0.143,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass2.wav",0.097,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass3.wav",0.173,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/ImpactMetal1.wav",0.198,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Punch1.wav",0.048,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood1.wav",0.098,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood2.wav",0.065,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood3.wav",0.092,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Music/Cymbal1.wav",0.014,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Cymbal2.wav",0.113,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Cymbal3.wav",0.106,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Drums1.wav",0.631,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Drums2.wav",0.825,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Kick1.wav",0.035,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Kick2.wav",0.050,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Snare1.wav",0.024,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Tom1.wav",0.068,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Music/Tom2.wav",0.070,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,""
"Assets/Feel/NiceVibrations/HapticSamples/Nature/CatPurr1.wav",1.332,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/CreatureRoar1.wav",0.115,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Rain1.wav",1.178,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/RaininCar1.wav",1.344,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/RainonUmbrella1.wav",0.415,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Splash1.wav",0.290,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Thunder1.wav",0.680,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Thunder2.wav",0.968,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book2.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book3.wav",0.146,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash2.wav",0.117,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash5.wav",0.077,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash8.wav",0.182,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coin1.wav",0.051,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins2.wav",0.027,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins3.wav",0.026,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins4.wav",0.036,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins5.wav",0.032,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins7.wav",0.026,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/DoorKnob1.wav",0.030,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fan1.wav",0.253,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fan2.wav",0.253,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fireplace1.wav",0.169,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fireplace2.wav",0.169,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight2.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer2.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer3.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard1.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard2.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard3.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keys1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keys2.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Pen1.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Switch6.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchHeavy1.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchHeavy2.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight1.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight2.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight3.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchMed1.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchMed2.wav",0.022,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Velcro1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Velcro2.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw1.wav",0.085,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw2.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw3.wav",0.043,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/Boost1.wav",0.121,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarEngine1.wav",0.480,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarEngine2.wav",1.063,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarScreech1.wav",0.126,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarScreech2.wav",0.244,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/Crumbling1.wav",0.152,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/IceCubes1.wav",0.264,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/MovieProjector1.wav",0.337,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/BowRelease1.wav",0.030,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot1.wav",0.101,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot2.wav",0.139,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot3.wav",0.100,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunFire1.wav",0.090,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunFire2.wav",0.241,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunLoad1.wav",0.071,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/LightMachineGunFire1.wav",0.303,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/LightMachineGunLoad1.wav",0.235,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire1.wav",0.058,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire2.wav",0.039,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire3.wav",0.071,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad1.wav",0.016,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad2.wav",0.039,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad3.wav",0.076,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ScifiGunshot1.wav",0.025,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire1.wav",0.104,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire2.wav",0.222,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire3.wav",0.342,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad1.wav",0.069,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad2.wav",0.038,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad3.wav",0.036,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunShell1.wav",0.066,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/SniperFire1.wav",0.162,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"SFX_EXPECT_ADPCM"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/King.mp3",0.042,"CompressedInMemory","Vorbis",0.500,"PreserveSampleRate",0,False,""
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Electronics.wav",11.997,"CompressedInMemory","PCM",0.500,"PreserveSampleRate",0,False,"AMBIENCE_EXPECT_VORBIS"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Lead Brass.wav",11.997,"CompressedInMemory","PCM",0.500,"PreserveSampleRate",0,False,"AMBIENCE_EXPECT_VORBIS"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Orchestra.wav",11.997,"CompressedInMemory","PCM",0.500,"PreserveSampleRate",0,False,"AMBIENCE_EXPECT_VORBIS"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Percussions.wav",11.997,"CompressedInMemory","PCM",0.500,"PreserveSampleRate",0,False,"AMBIENCE_EXPECT_VORBIS"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Resources/Chinese/hello.mp3",0.013,"CompressedInMemory","Vorbis",1.000,"PreserveSampleRate",0,False,"SFX_EXPECT_ADPCM"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Resources/German/hello.mp3",0.006,"CompressedInMemory","Vorbis",1.000,"PreserveSampleRate",0,False,"SFX_EXPECT_ADPCM"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Resources/Spanish/hello.mp3",0.007,"DecompressOnLoad","ADPCM",0.600,"OverrideSampleRate",22050,True,""
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/arrow.wav",0.014,"CompressedInMemory","PCM",1.000,"PreserveSampleRate",0,False,"SFX_EXPECT_ADPCM"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/blast.wav",0.397,"CompressedInMemory","PCM",1.000,"PreserveSampleRate",0,False,"SFX_EXPECT_ADPCM"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/Scream.wav",0.176,"CompressedInMemory","PCM",1.000,"PreserveSampleRate",0,False,"SFX_EXPECT_ADPCM"
