Path,Shader,RenderQueue,KeywordCount,Keywords,Flags
"Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/MAT_AbyssalBlackSmoke.mat","Hecton8/VFX/AbyssalBlackSmoke",2480,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Mat_AegirHazeOverlay.mat","HECTON/Sky/Hecton_AegirHazeOverlay",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/MAT_Diegetic_HUD_V4_Projection.mat","Hecton8/UI/HUDDiegeticProjectionUnlit",4100,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Mat_GasGiant.mat","HECTON/Celestial/SG_GasGiant_Master",2000,0,"",""
"Assets/_Project/Art/Materials/Mat_HectonSky.mat","HECTON/Sky/Hecton_AlienSky_Master",1000,0,"",""
"Assets/_Project/Art/Materials/Mat_HectonSky_CloudOverlay.mat","HECTON/Sky/Hecton_AlienSky_Master",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/MAT_SargassumFoamDamping.mat","Crest/Inputs/Foam/Sargassum Damping",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/MAT_SargassumMicroFaunaBoids.mat","Hecton8/BoidFishInstanced",2000,0,"",""
"Assets/_Project/Art/Materials/MAT_SargassumOilFilm.mat","Crest/Inputs/Albedo/Sargassum Oil Film",2450,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/MAT_SargassumWaveDamping.mat","Crest/Inputs/Animated Waves/Sargassum Damping",2000,0,"",""
"Assets/_Project/Art/Materials/Mat_Shelf.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Mat_Skybox_Final.mat","Hecton/SkyboxBlend",1000,0,"",""
"Assets/_Project/Art/Materials/Mat_Sun.mat","Hecton/Celestial/Sun",2550,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Mat_Terrain.mat","HECTON/Terrain/TerrainMaster",2000,0,"",""
"Assets/_Project/Art/Materials/Mat_TriplanarRock.mat","2D/RenderAs2D-Flattening",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Mat_Visor_Glass.mat","NASAPunk/SuitVisor",2470,3,"_ALPHAPREMULTIPLY_ON|_EMISSION|_SURFACE_TYPE_TRANSPARENT","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Mat_Water.mat","Universal Render Pipeline/Lit",2000,1,"_EMISSION",""
"Assets/_Project/Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.fbx","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Nature/ProceduralOrganicMisc/Mat_Organic_EggNest.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Nature/ProceduralOrganicMisc/Mat_Organic_EggShell.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Nature/ProceduralOrganicMisc/Mat_Organic_PlantBud.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Nature/ProceduralOrganicMisc/Mat_Organic_PlantCanopy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Nature/ProceduralOrganicMisc/Mat_Organic_PlantStem.mat","Universal Render Pipeline/Lit",2000,0,"",""
