"Path","AssetKind","AnimationCompression","RotationError","PositionError","ScaleError","Flags"
"Assets/ScifiFacility/Models/furniture/table_base.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_06.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_07.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_08.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_09.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_10.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_11.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_12.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_13.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_14.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/props/details/controlpanels/controlpanel_15.fbx","ModelImporter","1","0.5","0.5","0.5",""
